name,handedness,height,weight,avg,HR,BMI,Body_Size
Curt Blefary,L,74,195,0.237,112,25,Overweight
Ed Stroud,L,71,180,0.237,14,25,Overweight
Ed Spiezio,R,71,180,0.238,39,25,Overweight
Don Lock,R,74,195,0.238,122,25,Overweight
Duke Sims,L,74,197,0.239,100,25,Overweight
Kiko Garcia,R,71,180,0.239,12,25,Overweight
Gary Gray,R,72,187,0.24,24,25,Overweight
Mike Tyson,R,69,170,0.241,27,25,Overweight
Joe Gaines,R,73,190,0.241,21,25,Overweight
Willie Norwood,R,72,185,0.242,18,25,Overweight
Mike Hegan,L,73,188,0.242,53,25,Normal
Ron Swoboda,R,74,195,0.242,73,25,Overweight
Freddie Patek,R,65,148,0.242,41,25,Normal
Rick Joseph,R,73,192,0.243,13,25,Overweight
Gary Sutherland,R,72,185,0.243,24,25,Overweight
Jim Essian,R,74,195,0.244,33,25,Overweight
Joe Wallis,B,71,180,0.244,16,25,Overweight
George Wright,B,71,180,0.245,42,25,Overweight
Tommy McCraw,L,72,183,0.246,75,25,Normal
Bucky Dent,R,69,170,0.247,40,25,Overweight
Dick McAuliffe,L,71,176,0.247,197,25,Normal
Mike Diaz,R,74,195,0.247,31,25,Overweight
Mike Young,B,74,195,0.247,72,25,Overweight
Willie Smith,L,72,182,0.248,46,25,Normal
Tom Hutton,L,71,180,0.248,22,25,Overweight
Danny Thompson,R,72,183,0.248,15,25,Normal
Ron Theobald,R,68,165,0.248,2,25,Overweight
Butch Hobson,R,73,193,0.248,98,25,Overweight
John Milner,L,72,185,0.249,131,25,Overweight
Nick Esasky,R,75,200,0.25,122,25,Normal
Jim Spencer,L,74,195,0.25,146,25,Overweight
Bob Stinson,B,71,180,0.25,33,25,Overweight
Denis Menke,R,72,185,0.25,101,25,Overweight
Rob Andrews,R,72,185,0.251,3,25,Overweight
Mike Hershberger,R,70,175,0.252,26,25,Overweight
Dave Chalk,R,70,175,0.252,15,25,Overweight
Tony Armas,R,71,182,0.252,251,25,Overweight
Fred Whitfield,L,73,190,0.253,108,25,Overweight
Larvell Blanks,R,68,167,0.253,20,25,Overweight
Johnny Briggs,L,73,190,0.253,139,25,Overweight
Dan Meyer,L,71,180,0.253,86,25,Overweight
Roy Foster,R,72,185,0.253,45,25,Overweight
Bob Boone,R,74,195,0.254,105,25,Overweight
Andre Thornton,R,75,200,0.254,253,25,Normal
Lee Thomas,L,74,195,0.255,106,25,Overweight
Butch Wynegar,B,73,190,0.255,65,25,Overweight
Juan Bonilla,R,69,170,0.256,7,25,Overweight
Horace Clarke,B,69,170,0.256,27,25,Overweight
Biff Pocoroba,B,70,175,0.257,21,25,Overweight
